# Map CEDS emissions to hector units ,,,,,,
# cf is the conversion factor from CEDS to Hector,,,,,,
# hector_sector indicates if being mapped to a sector or global total (0),,,,,,
ceds_variable,ceds_units,cf,hector_variable,hector_units,notes_on_cf,hector_sector
SO2,ktSO2,0.5,SO2_emissions,Gg S,(32/64),Industry
BC,ktC,0.001,BC_emissions,Tg,,Industry
CH4_Extension,ktCH4,0.001,CH4_emissions,Tg CH4,,Industry
CO,ktCO,0.001,CO_emissions,Tg CO,,Industry
CO2,ktCO2,2.72727E-07,ffi_emissions,Pg C/yr,(12/44) *  0.00001 ,0
N2O_Extension,ktN2O,0.000304348,N2O_emissions,Tg N,(14/46) * 0.001,Industry
NH3,ktNH3,0.001,NH3_emissions,Tg,,Industry
NMVOC,ktNMVOC,0.001,NMVOC_emissions,Tg NMVOC,,Industry
NOx,ktNO2,0.000304348,NOX_emissions,Tg N,(14/46)*0.001,Industry
OC,ktC,0.001,OC_emissions,Tg,,Industry