# Mapping file used to convert RCMIP emissions to Hector variable name and correct unit, the cf notes column contain some additional notes on the conversion factor if needed,,,,
 hector_variable, hector_unit, rcmip_variable, rcmip_units,cf,cf_notes
ffi_emissions, PgC year-1,Emissions|CO2|Fossil and Industrial, Mt CO2 year-1,0.000272893,12.01/44.01 * 0.00001
ffi_emissions, PgC year-1,Emissions|CO2|MAGICC Fossil and Industrial, Mt CO2 year-1,0.000272893,12.01/44.01 * 0.00001
luc_emissions, PgC year-1,Emissions|CO2|AFOLU, Mt CO2 year-1,0.000272893,12.01/44.01 * 0.00001
luc_emissions, PgC year-1,Emissions|CO2|MAGICC AFOLU, Mt CO2 year-1,0.000272893,12.01/44.01 * 0.00001
SO2_emissions, Gg S year-1,Emissions|Sulfur, Mt SO2 year-1,500.7800312,(32.1/64.1) * 1000
CH4_emissions, Tg CH4 year-1,Emissions|CH4, Mt CH4 year-1,1,
NOX_emissions, Tg N year-1,Emissions|NOx, Mt NOx year-1,0.30445367,(14.007/46.007)
CO_emissions, Tg CO year-1,Emissions|CO, Mt CO year-1,1,
NMVOC_emissions, Tg NMVOC year-1,Emissions|VOC, Mt VOC year-1,1,
N2O_emissions, Tg N year-1,Emissions|N2O, kt N2O year-1,0.000636479,28.014/ 44.014 * 0.001
BC_emissions,Tg,Emissions|BC, Mt BC year-1,1,
NH3_emissions, Tg year-1,Emissions|NH3,Mt NH3/yr,1,
OC_emissions, Tg year-1,Emissions|OC, Mt OC year-1,1,
HFC125_emissions,Gg,Emissions|F-Gases|HFC|HFC125,kt,1,
HFC134a_emissions,Gg,Emissions|F-Gases|HFC|HFC134a,kt,1,
HFC143a_emissions,Gg,Emissions|F-Gases|HFC|HFC143a,kt,1,
HFC227ea_emissions,Gg,Emissions|F-Gases|HFC|HFC227ea,kt,1,
HFC23_emissions,Gg,Emissions|F-Gases|HFC|HFC23,kt,1,
HFC245fa_emissions,Gg,Emissions|F-Gases|HFC|HFC245fa,kt,1,
HFC32_emissions,Gg,Emissions|F-Gases|HFC|HFC32,kt,1,
HFC4310_emissions,Gg,Emissions|F-Gases|HFC|HFC4310mee,kt,1,
C2F6_emissions,Gg,Emissions|F-Gases|PFC|C2F6,kt,1,
CF4_emissions,Gg,Emissions|F-Gases|PFC|CF4,kt,1,
SF6_emissions,Gg,Emissions|F-Gases|SF6,kt,1,
CCl4_emissions,Gg,Emissions|Montreal Gases|CCl4,kt,1,
CFC11_emissions,Gg,Emissions|Montreal Gases|CFC|CFC11,kt,1,
CFC113_emissions,Gg,Emissions|Montreal Gases|CFC|CFC113,kt,1,
CFC114_emissions,Gg,Emissions|Montreal Gases|CFC|CFC114,kt,1,
CFC115_emissions,Gg,Emissions|Montreal Gases|CFC|CFC115,kt,1,
CFC12_emissions,Gg,Emissions|Montreal Gases|CFC|CFC12,kt,1,
CH3Br_emissions,Gg,Emissions|Montreal Gases|CH3Br,kt,1,
CH3CCl3_emissions,Gg,Emissions|Montreal Gases|CH3CCl3,kt,1,
CH3Cl_emissions,Gg,Emissions|Montreal Gases|CH3Cl,kt,1,
halon1211_emissions,Gg,Emissions|Montreal Gases|Halon1211,kt,1,
halon1301_emissions,Gg,Emissions|Montreal Gases|Halon1301,kt,1,
halon2402_emissions,Gg,Emissions|Montreal Gases|Halon2402,kt,1,
HCFC141b_emissions,Gg,Emissions|Montreal Gases|HCFC141b,kt,1,
HCFC142b_emissions,Gg,Emissions|Montreal Gases|HCFC142b,kt,1,
HCFC22_emissions,Gg,Emissions|Montreal Gases|HCFC22,kt,1,
SV,W m-2,Radiative Forcing|Natural|Volcanic,W m-2,1,
SV,W m-2,Effective Radiative Forcing|Natural|Volcanic,W m-2,1,
RF_albedo,W m-2,"	Radiative Forcing|Anthropogenic|Albedo Change",W m-2,1,
RF_albedo,W m-2,Effective Radiative Forcing|Anthropogenic|Albedo Change,W m-2,1,